"","V1","V2","V3","V4"
"15049",3,5,8,6
"15050",1,1,2,1
"15051",1,6,7,6
"15052",2,18,20,19
"15053",1,2,3,2
"15054",1,3,4,3
"15055",2,9,11,10
"15056",4,11,15,13
"15057",1,4,5,4
"15058",2,3,5,3
"15059",4,35,39,38
"15060",1,3,4,3
"15061",7,21,28,25
"15062",1,3,4,3
"15063",2,35,37,36
"15064",1,2,3,2
"15065",1,3,4,3
"15066",2,11,13,12
"15067",2,3,5,4
"15068",2,1,3,2
"15069",2,6,8,6
"15070",1,4,5,4
"15071",1,6,7,6
"15072",6,10,16,13
"15073",1,8,9,8
"15074",6,7,13,9
"15075",3,2,5,4
"15076",7,19,26,19
"15077",4,14,18,17
"15078",2,3,5,3
"15079",2,11,13,12
"15080",2,5,7,6
"15081",2,24,26,25
"15082",2,11,13,11
"15083",3,5,8,7
"15084",2,10,12,10
"15085",1,4,5,4
"15086",1,2,3,2
"15087",1,2,3,2
"15088",1,3,4,3
"15089",2,16,18,17
"15090",5,18,23,21
"15091",3,34,37,35
"15092",4,1,5,4
"15093",6,14,20,16
"15094",3,23,26,24
"15095",1,2,3,2
"15096",7,28,35,33
"15097",2,20,22,20
"15098",1,7,8,7
"15099",1,5,6,5
"15100",1,9,10,9
"15101",3,22,25,24
"15102",1,3,4,3
"15103",3,12,15,13
"15104",1,6,7,6
"15105",1,9,10,9
"15106",16,54,70,54
"15107",1,3,4,3
"15108",4,7,11,9
"15109",2,6,8,6
"15110",2,6,8,7
"15111",1,1,2,1
"15112",1,4,5,4
"15113",1,15,16,15
"15114",6,5,11,9
"15115",10,29,39,36
"15116",1,14,15,14
"15117",1,12,13,12
"15118",1,10,11,10
"15119",2,6,8,6
"15120",2,12,14,12
"15121",5,5,10,5
"15122",1,1,2,1
"15123",4,13,17,16
"15124",1,4,5,4
"15125",3,34,37,35
"15126",1,18,19,18
"15127",1,3,4,3
"15128",1,6,7,6
"15129",3,2,5,4
"15130",2,15,17,15
"15131",1,13,14,13
"15132",1,5,6,5
"15133",1,16,17,16
"15134",1,4,5,4
"15135",8,34,42,36
"15136",1,5,6,5
"15137",1,5,6,5
"15138",1,1,2,1
"15139",1,6,7,6
"15140",2,2,4,2
"15141",5,6,11,10
"15142",1,10,11,10
"15143",2,10,12,10
"15144",2,6,8,6
"15145",1,13,14,13
"15146",3,20,23,20
"15147",1,10,11,10
"15148",7,10,17,13
"15149",1,1,2,1
"15150",3,40,43,41
"15151",1,8,9,8
"15152",3,2,5,3
"15153",1,10,11,10
"15154",6,3,9,8
"15155",1,2,3,2
"15156",1,6,7,6
"15157",5,21,26,23
"15158",2,3,5,3
"15159",1,4,5,4
"15160",6,57,63,57
"15161",5,8,13,11
"15162",1,7,8,7
"15163",1,18,19,18
"15164",2,3,5,3
"15165",2,37,39,37
"15166",1,6,7,6
"15167",1,20,21,20
"15168",1,6,7,6
"15169",2,4,6,5
"15170",2,9,11,10
"15171",5,13,18,13
"15172",1,24,25,24
"15173",2,3,5,4
"15174",1,1,2,1
"15175",1,6,7,6
"15176",1,5,6,5
"15177",2,13,15,13
"15178",1,8,9,8
"15179",10,25,35,30
"15180",6,57,63,57
"15181",2,3,5,4
"15182",2,5,7,6
"15183",1,3,4,3
"15184",5,12,17,15
"15185",1,16,17,16
"15186",1,19,20,19
"15187",3,4,7,6
"15188",1,1,2,1
"15189",1,6,7,6
"15190",1,5,6,5
"15191",1,3,4,3
"15192",2,1,3,2
"15193",1,2,3,2
"15194",1,8,9,8
"15195",2,3,5,3
"15196",1,6,7,6
"15197",3,4,7,5
"15198",1,4,5,4
"15199",3,14,17,14
"15200",1,14,15,14
"15201",1,5,6,5
"15202",3,5,8,7
"15203",2,2,4,3
"15204",2,12,14,12
"15205",2,17,19,17
"15206",1,1,2,1
"15207",5,6,11,8
"15208",1,8,9,8
"15209",3,5,8,7
"15210",1,22,23,22
"15211",2,15,17,15
"15212",8,28,36,32
"15213",6,4,10,9
"15214",1,4,5,4
"15215",2,23,25,24
"15216",7,27,34,32
"15217",2,28,30,28
"15218",8,2,10,8
"15219",1,1,2,1
"15220",1,4,5,4
"15221",1,3,4,3
"15222",6,35,41,35
"15223",1,1,2,1
"15224",1,1,2,1
"15225",1,1,2,1
"15226",1,12,13,12
"15227",1,15,16,15
"15228",2,4,6,4
"15229",4,27,31,27
"15230",2,5,7,6
"15231",1,4,5,4
"15232",4,10,14,13
"15233",1,1,2,1
"15234",2,13,15,14
"15235",2,4,6,5
"15236",6,15,21,18
"15237",2,3,5,3
"15238",1,1,2,1
"15239",1,9,10,9
"15240",2,11,13,11
"15241",8,14,22,20
"15242",2,37,39,37
"15243",5,10,15,12
"15244",2,16,18,16
"15245",1,21,22,21
"15246",3,9,12,10
"15247",3,5,8,7
"15248",1,11,12,11
"15249",4,7,11,7
"15250",4,4,8,7
"15251",1,10,11,10
"15252",1,2,3,2
"15253",7,15,22,19
"15254",4,4,8,7
"15255",2,26,28,27
"15256",1,5,6,5
"15257",1,9,10,9
"15258",2,9,11,10
"15259",1,3,4,3
"15260",1,14,15,14
"15261",2,8,10,9
"15262",1,27,28,27
"15263",2,1,3,2
"15264",5,1,6,5
"15265",6,6,12,9
"15266",3,5,8,6
"15267",2,3,5,3
"15268",1,7,8,7
"15269",10,21,31,24
"15270",5,11,16,15
"15271",6,11,17,16
"15272",2,8,10,8
"15273",1,15,16,15
"15274",4,16,20,17
"15275",1,34,35,34
"15276",2,6,8,6
"15277",1,3,4,3
"15278",1,3,4,3
"15279",2,3,5,4
"15280",1,1,2,1
"15281",1,4,5,4
"15282",1,1,2,1
"15283",6,2,8,6
"15284",1,38,39,38
"15285",4,13,17,16
"15286",2,26,28,26
"15287",3,34,37,34
"15288",2,10,12,10
"15289",1,7,8,7
"15290",1,1,2,1
"15291",4,4,8,6
"15292",1,5,6,5
"15293",1,2,3,2
"15294",1,5,6,5
"15295",1,9,10,9
"15296",2,7,9,7
"15297",1,14,15,14
"15298",4,9,13,10
"15299",3,3,6,5
"15300",1,5,6,5
"15301",1,4,5,4
"15302",3,23,26,25
"15303",2,24,26,24
"15304",2,8,10,9
"15305",1,1,2,1
"15306",5,2,7,5
"15307",2,17,19,18
"15308",1,6,7,6
"15309",1,5,6,5
"15310",3,4,7,6
"15311",1,2,3,2
"15312",1,8,9,8
"15313",2,17,19,17
"15314",1,16,17,16
"15315",2,6,8,6
"15316",3,2,5,3
"15317",2,10,12,11
"15318",1,21,22,21
"15319",1,8,9,8
"15320",1,25,26,25
"15321",5,4,9,5
"15322",2,9,11,9
"15323",6,4,10,9
"15324",1,3,4,3
"15325",4,1,5,4
"15326",1,11,12,11
"15327",4,18,22,20
"15328",4,4,8,6
"15329",2,16,18,16
"15330",1,10,11,10
"15331",1,25,26,25
"15332",1,1,2,1
"15333",1,5,6,5
"15334",1,9,10,9
"15335",3,3,6,5
"15336",1,12,13,12
"15337",1,1,2,1
"15338",2,22,24,22
"15339",1,1,2,1
"15340",1,2,3,2
"15341",1,3,4,3
"15342",6,2,8,6
"15343",1,2,3,2
"15344",8,11,19,18
"15345",1,2,3,2
"15346",3,9,12,11
"15347",1,36,37,36
"15348",1,1,2,1
"15349",2,5,7,6
"15350",1,2,3,2
"15351",3,3,6,3
"15352",1,5,6,5
"15353",5,42,47,42
"15354",6,4,10,8
"15355",3,2,5,4
"15356",3,13,16,13
"15357",1,10,11,10
"15358",1,15,16,15
"15359",1,3,4,3
"15360",1,8,9,8
"15361",4,7,11,9
"15362",1,8,9,8
"15363",2,10,12,11
"15364",4,16,20,18
"15365",2,16,18,16
"15366",7,12,19,15
"15367",3,3,6,5
"15368",1,2,3,2
"15369",1,6,7,6
"15370",1,11,12,11
"15371",4,4,8,7
"15372",3,17,20,17
"15373",4,19,23,22
"15374",1,1,2,1
"15375",9,18,27,23
"15376",1,11,12,11
"15377",1,2,3,2
"15378",2,3,5,3
"15379",1,8,9,8
"15380",10,1,11,10
"15381",3,18,21,20
"15382",1,13,14,13
"15383",2,4,6,4
"15384",2,5,7,5
"15385",1,2,3,2
"15386",2,81,83,81
"15387",4,17,21,17
"15388",1,5,6,5
"15389",1,8,9,8
"15390",2,6,8,6
"15391",2,17,19,18
"15392",3,12,15,13
"15393",1,9,10,9
"15394",1,8,9,8
"15395",2,32,34,32
"15396",1,5,6,5
"15397",1,1,2,1
"15398",1,15,16,15
"15399",7,11,18,14
"15400",1,10,11,10
"15401",1,2,3,2
"15402",1,38,39,38
"15403",4,7,11,10
"15404",1,3,4,3
"15405",1,10,11,10
"15406",2,10,12,10
"15407",2,15,17,16
"15408",1,6,7,6
"15409",1,4,5,4
"15410",1,22,23,22
"15411",2,13,15,14
"15412",1,25,26,25
"15413",1,2,3,2
"15414",1,3,4,3
"15415",12,176,188,183
"15416",3,15,18,15
"15417",1,2,3,2
"15418",2,1,3,2
"15419",2,12,14,12
"15420",2,22,24,23
"15421",1,9,10,9
"15422",3,10,13,12
"15423",1,7,8,7
"15424",10,18,28,24
"15425",1,5,6,5
"15426",4,22,26,24
"15427",2,5,7,6
"15428",1,3,4,3
"15429",2,6,8,6
"15430",1,2,3,2
"15431",4,2,6,5
"15432",2,2,4,3
"15433",2,5,7,6
"15434",11,23,34,23
"15435",2,12,14,12
"15436",3,30,33,31
"15437",2,17,19,18
"15438",1,2,3,2
"15439",1,6,7,6
"15440",1,6,7,6
"15441",5,40,45,41
"15442",2,3,5,3
"15443",2,14,16,14
"15444",1,3,4,3
"15445",1,1,2,1
"15446",12,7,19,16
"15447",2,19,21,20
"15448",1,3,4,3
"15449",2,12,14,12
"15450",7,8,15,8
"15451",2,11,13,11
"15452",4,16,20,18
"15453",1,1,2,1
"15454",1,6,7,6
"15455",1,3,4,3
"15456",1,1,2,1
"15457",1,4,5,4
"15458",1,3,4,3
"15459",1,1,2,1
"15460",3,4,7,6
"15461",1,4,5,4
"15462",1,10,11,10
"15463",3,14,17,14
"15464",1,2,3,2
"15465",12,5,17,16
"15466",1,4,5,4
"15467",1,2,3,2
"15468",1,14,15,14
"15469",1,12,13,12
"15470",1,32,33,32
"15471",2,24,26,24
"15472",4,1,5,4
"15473",3,5,8,6
"15474",3,12,15,14
"15475",5,32,37,34
"15476",1,3,4,3
"15477",6,14,20,17
"15478",1,2,3,2
"15479",1,3,4,3
"15480",1,22,23,22
"15481",2,36,38,36
"15482",1,28,29,28
"15483",3,22,25,22
"15484",3,3,6,5
"15485",6,6,12,6
"15486",2,4,6,5
"15487",1,27,28,27
"15488",5,3,8,7
"15489",1,1,2,1
"15490",1,9,10,9
"15491",7,6,13,12
"15492",1,15,16,15
"15493",2,8,10,9
"15494",3,18,21,20
"15495",1,9,10,9
"15496",2,3,5,3
"15497",2,11,13,11
"15498",1,10,11,10
"15499",3,7,10,7
"15500",1,4,5,4
"15501",2,14,16,15
"15502",3,1,4,3
"15503",4,9,13,12
"15504",1,5,6,5
"15505",5,3,8,7
"15506",2,6,8,7
"15507",12,2,14,13
"15508",1,10,11,10
"15509",1,6,7,6
"15510",2,4,6,5
"15511",1,2,3,2
"15512",1,5,6,5
"15513",2,4,6,4
"15514",1,7,8,7
"15515",3,16,19,17
"15516",5,10,15,13
"15517",6,21,27,26
"15518",5,28,33,32
"15519",1,38,39,38
"15520",4,12,16,15
"15521",1,44,45,44
"15522",2,10,12,10
"15523",2,4,6,4
"15524",3,20,23,21
"15525",2,3,5,4
"15526",3,6,9,8
"15527",2,6,8,6
"15528",1,8,9,8
"15529",1,5,6,5
"15530",6,23,29,26
"15531",2,10,12,10
"15532",2,5,7,5
"15533",1,1,2,1
"15534",5,2,7,5
"15535",1,19,20,19
"15536",1,17,18,17
"15537",3,21,24,22
"15538",1,7,8,7
"15539",2,12,14,12
"15540",3,16,19,16
"15541",6,32,38,32
"15542",3,32,35,33
"15543",3,5,8,7
"15544",2,14,16,15
"15545",4,10,14,12
"15546",4,1,5,4
"15547",1,4,5,4
"15548",1,4,5,4
"15549",2,19,21,20
"15550",4,16,20,18
"15551",1,3,4,3
"15552",1,36,37,36
"15553",1,1,2,1
"15554",5,11,16,14
"15555",1,7,8,7
"15556",10,18,28,23
"15557",1,23,24,23
"15558",3,9,12,10
"15559",1,17,18,17
"15560",2,4,6,4
"15561",1,10,11,10
"15562",1,6,7,6
"15563",2,2,4,2
"15564",2,4,6,5
"15565",1,3,4,3
"15566",1,12,13,12
"15567",1,8,9,8
"15568",1,3,4,3
"15569",1,6,7,6
"15570",6,6,12,10
"15571",1,3,4,3
"15572",2,6,8,6
"15573",1,20,21,20
"15574",1,9,10,9
"15575",4,9,13,11
"15576",1,38,39,38
"15577",1,14,15,14
"15578",1,20,21,20
"15579",3,8,11,8
"15580",5,13,18,17
"15581",2,18,20,18
"15582",3,6,9,7
"15583",2,5,7,5
"15584",2,31,33,31
"15585",2,11,13,12
"15586",32,1,33,32
"15587",3,12,15,14
"15588",3,6,9,7
"15589",3,6,9,8
"15590",1,19,20,19
"15591",1,1,2,1
"15592",7,51,58,55
"15593",1,6,7,6
"15594",2,11,13,12
"15595",1,1,2,1
"15596",7,3,10,9
"15597",4,26,30,29
"15598",1,5,6,5
"15599",3,22,25,23
"15600",1,23,24,23
"15601",1,9,10,9
"15602",1,2,3,2
"15603",3,5,8,6
"15604",1,30,31,30
"15605",2,7,9,7
"15606",1,7,8,7
"15607",1,3,4,3
"15608",4,5,9,7
"15609",2,12,14,13
"15610",4,6,10,7
"15611",1,12,13,12
"15612",1,3,4,3
"15613",2,8,10,9
"15614",1,10,11,10
"15615",2,7,9,7
"15616",2,35,37,36
"15617",3,6,9,6
"15618",3,9,12,10
"15619",1,3,4,3
"15620",4,3,7,5
"15621",1,3,4,3
"15622",2,2,4,3
"15623",1,4,5,4
"15624",2,7,9,7
"15625",11,11,22,20
"15626",1,1,2,1
"15627",2,2,4,3
"15628",7,14,21,18
"15629",1,3,4,3
"15630",5,42,47,46
"15631",5,22,27,24
"15632",1,2,3,2
"15633",1,9,10,9
"15634",1,31,32,31
"15635",2,11,13,11
"15636",1,4,5,4
"15637",3,9,12,11
"15638",1,6,7,6
"15639",2,3,5,3
"15640",1,6,7,6
"15641",1,1,2,1
"15642",2,2,4,3
"15643",1,9,10,9
"15644",7,29,36,34
"15645",1,1,2,1
"15646",5,60,65,62
"15647",3,5,8,6
"15648",1,5,6,5
"15649",2,18,20,19
"15650",2,30,32,31
"15651",2,14,16,14
"15652",3,19,22,21
"15653",4,4,8,7
"15654",3,7,10,8
"15655",1,8,9,8
"15656",3,12,15,13
"15657",5,27,32,28
"15658",4,4,8,7
"15659",2,15,17,15
"15660",5,7,12,10
"15661",4,10,14,11
"15662",1,24,25,24
"15663",3,8,11,10
"15664",3,5,8,5
"15665",2,22,24,22
"15666",2,31,33,32
"15667",1,15,16,15
"15668",1,5,6,5
"15669",1,7,8,7
"15670",1,4,5,4
"15671",3,28,31,29
"15672",4,18,22,20
"15673",3,7,10,8
"15674",1,4,5,4
"15675",1,8,9,8
"15676",2,7,9,7
"15677",2,38,40,39
"15678",4,25,29,26
"15679",1,15,16,15
"15680",1,7,8,7
"15681",5,5,10,9
"15682",9,3,12,11
"15683",9,35,44,38
"15684",1,3,4,3
"15685",2,3,5,3
"15686",1,31,32,31
"15687",1,3,4,3
"15688",1,7,8,7
"15689",4,13,17,14
"15690",2,1,3,2
"15691",1,9,10,9
"15692",4,29,33,31
"15693",1,2,3,2
"15694",1,5,6,5
"15695",2,7,9,7
"15696",1,1,2,1
"15697",1,6,7,6
"15698",1,12,13,12
"15699",2,2,4,2
"15700",1,1,2,1
"15701",1,5,6,5
"15702",1,14,15,14
"15703",3,27,30,28
"15704",6,7,13,9
"15705",3,15,18,15
"15706",3,18,21,20
"15707",2,8,10,9
"15708",2,13,15,13
"15709",2,12,14,13
"15710",5,3,8,7
"15711",2,2,4,2
"15712",3,4,7,4
"15713",1,9,10,9
"15714",1,3,4,3
"15715",1,3,4,3
"15716",1,2,3,2
"15717",6,1,7,6
"15718",9,1,10,9
"15719",2,32,34,32
"15720",1,8,9,8
"15721",9,9,18,9
"15722",3,4,7,5
"15723",2,7,9,8
"15724",1,1,2,1
"15725",4,6,10,7
"15726",1,2,3,2
"15727",3,14,17,15
"15728",3,6,9,8
"15729",1,15,16,15
"15730",1,3,4,3
"15731",1,2,3,2
"15732",2,2,4,3
"15733",1,7,8,7
"15734",2,34,36,34
"15735",1,3,4,3
"15736",1,3,4,3
"15737",6,8,14,13
"15738",6,20,26,22
"15739",1,1,2,1
"15740",2,18,20,18
"15741",1,5,6,5
"15742",4,14,18,16
"15743",5,11,16,14
"15744",2,31,33,31
"15745",2,38,40,39
"15746",1,2,3,2
"15747",1,4,5,4
"15748",2,34,36,34
"15749",2,21,23,21
"15750",1,3,4,3
"15751",1,2,3,2
"15752",4,18,22,20
"15753",2,11,13,11
"15754",2,3,5,4
"15755",1,8,9,8
"15756",2,7,9,8
"15757",1,14,15,14
"15758",2,21,23,22
"15759",1,12,13,12
"15760",2,1,3,2
"15761",2,19,21,20
"15762",1,8,9,8
"15763",1,5,6,5
"15764",1,6,7,6
"15765",1,1,2,1
"15766",3,22,25,24
"15767",2,1,3,2
"15768",4,3,7,6
"15769",6,32,38,32
"15770",3,22,25,24
"15771",2,10,12,11
"15772",3,8,11,10
"15773",1,1,2,1
"15774",2,66,68,66
"15775",3,176,179,176
"15776",1,8,9,8
"15777",1,2,3,2
"15778",1,5,6,5
"15779",2,45,47,46
"15780",1,10,11,10
"15781",3,14,17,15
"15782",3,7,10,8
"15783",6,1,7,6
"15784",1,3,4,3
"15785",6,9,15,13
"15786",1,7,8,7
"15787",1,12,13,12
"15788",4,24,28,24
"15789",2,20,22,20
"15790",11,9,20,15
"15791",1,2,3,2
"15792",1,1,2,1
"15793",1,5,6,5
"15794",1,3,4,3
"15795",1,10,11,10
"15796",1,1,2,1
"15797",1,4,5,4
"15798",2,18,20,19
"15799",5,7,12,11
"15800",1,10,11,10
"15801",1,6,7,6
"15802",1,1,2,1
"15803",3,15,18,16
"15804",1,4,5,4
"15805",1,15,16,15
"15806",3,10,13,10
"15807",2,7,9,8
"15808",1,2,3,2
"15809",4,5,9,7
"15810",1,5,6,5
"15811",12,176,188,183
"15812",1,3,4,3
"15813",2,4,6,5
"15814",1,1,2,1
"15815",2,13,15,13
"15816",2,16,18,17
"15817",3,45,48,47
"15818",7,11,18,17
"15819",1,22,23,22
"15820",1,8,9,8
"15821",1,2,3,2
"15822",3,1,4,3
"15823",1,4,5,4
"15824",3,12,15,13
"15825",1,3,4,3
"15826",3,9,12,11
"15827",1,7,8,7
"15828",2,12,14,12
"15829",1,2,3,2
"15830",2,11,13,12
"15831",7,14,21,17
"15832",1,20,21,20
"15833",1,2,3,2
"15834",2,5,7,6
"15835",4,11,15,11
"15836",2,26,28,26
"15837",1,1,2,1
"15838",2,5,7,6
"15839",1,1,2,1
"15840",1,3,4,3
"15841",1,3,4,3
"15842",1,10,11,10
"15843",3,3,6,3
"15844",1,2,3,2
"15845",11,13,24,23
"15846",1,3,4,3
"15847",2,8,10,8
"15848",1,6,7,6
"15849",1,11,12,11
"15850",6,11,17,16
"15851",3,3,6,5
"15852",1,34,35,34
"15853",1,25,26,25
"15854",2,15,17,15
"15855",1,16,17,16
"15856",1,6,7,6
"15857",7,13,20,18
"15858",4,16,20,17
"15859",1,1,2,1
"15860",1,4,5,4
"15861",2,2,4,2
"15862",1,2,3,2
"15863",1,2,3,2
"15864",1,5,6,5
"15865",1,5,6,5
"15866",4,14,18,14
"15867",1,35,36,35
"15868",1,1,2,1
"15869",1,17,18,17
"15870",2,3,5,3
"15871",6,6,12,11
"15872",3,2,5,4
"15873",1,9,10,9
"15874",2,6,8,7
"15875",1,1,2,1
"15876",2,13,15,14
"15877",1,3,4,3
"15878",2,6,8,6
"15879",2,8,10,9
"15880",1,3,4,3
"15881",2,22,24,23
"15882",2,8,10,8
"15883",7,51,58,55
"15884",1,6,7,6
"15885",6,8,14,9
"15886",7,14,21,15
"15887",1,9,10,9
"15888",5,10,15,14
"15889",1,5,6,5
"15890",2,6,8,6
"15891",1,6,7,6
"15892",1,10,11,10
"15893",1,11,12,11
"15894",2,4,6,4
"15895",5,31,36,32
"15896",5,39,44,42
"15897",2,14,16,15
"15898",2,45,47,46
"15899",1,7,8,7
"15900",1,1,2,1
"15901",1,1,2,1
"15902",1,6,7,6
"15903",1,18,19,18
"15904",11,14,25,21
"15905",6,9,15,11
"15906",4,12,16,13
"15907",1,11,12,11
"15908",5,12,17,15
"15909",3,18,21,18
"15910",2,9,11,10
"15911",1,4,5,4
"15912",1,12,13,12
"15913",1,6,7,6
"15914",2,5,7,6
"15915",3,34,37,35
"15916",5,9,14,12
"15917",1,3,4,3
"15918",3,4,7,5
"15919",1,32,33,32
"15920",4,29,33,32
"15921",1,3,4,3
"15922",2,4,6,5
"15923",1,4,5,4
"15924",5,4,9,8
"15925",1,16,17,16
"15926",4,15,19,17
"15927",8,9,17,13
"15928",2,2,4,2
"15929",5,19,24,20
"15930",1,4,5,4
"15931",2,29,31,30
"15932",1,1,2,1
"15933",1,6,7,6
"15934",1,1,2,1
"15935",5,35,40,38
"15936",1,4,5,4
"15937",1,2,3,2
"15938",6,39,45,43
"15939",1,5,6,5
"15940",4,19,23,20
"15941",4,35,39,36
"15942",4,21,25,24
"15943",1,9,10,9
"15944",1,4,5,4
"15945",2,9,11,10
"15946",3,17,20,17
"15947",1,4,5,4
"15948",7,12,19,13
"15949",4,14,18,16
"15950",2,21,23,22
"15951",1,2,3,2
"15952",1,4,5,4
"15953",1,3,4,3
"15954",2,6,8,6
"15955",1,8,9,8
"15956",9,15,24,17
"15957",2,7,9,7
"15958",1,4,5,4
"15959",1,7,8,7
"15960",2,42,44,42
"15961",2,14,16,15
"15962",4,25,29,25
"15963",1,2,3,2
"15964",1,4,5,4
"15965",14,22,36,32
"15966",2,15,17,15
"15967",2,21,23,22
"15968",8,44,52,50
"15969",1,8,9,8
"15970",1,2,3,2
"15971",6,18,24,22
"15972",2,176,178,177
"15973",1,9,10,9
"15974",2,2,4,2
"15975",4,23,27,24
"15976",2,10,12,10
"15977",6,21,27,22
"15978",1,20,21,20
"15979",2,25,27,26
"15980",2,3,5,3
"15981",1,15,16,15
"15982",1,1,2,1
"15983",2,3,5,4
"15984",1,6,7,6
"15985",2,5,7,5
"15986",2,5,7,6
"15987",3,5,8,5
"15988",1,2,3,2
"15989",2,42,44,42
"15990",1,1,2,1
"15991",2,11,13,12
"15992",3,14,17,14
"15993",2,4,6,4
"15994",3,3,6,3
"15995",3,18,21,20
"15996",2,7,9,8
"15997",2,6,8,6
"15998",1,2,3,2
"15999",1,3,4,3
"16000",3,7,10,7
"16001",2,25,27,26
"16002",3,10,13,11
"16003",1,6,7,6
"16004",1,33,34,33
"16005",7,2,9,8
"16006",2,10,12,10
"16007",5,23,28,27
"16008",1,3,4,3
"16009",1,8,9,8
"16010",4,2,6,4
"16011",2,8,10,8
"16012",4,20,24,22
"16013",1,7,8,7
"16014",1,9,10,9
"16015",1,7,8,7
"16016",1,11,12,11
"16017",3,12,15,14
"16018",1,14,15,14
"16019",2,10,12,11
"16020",5,30,35,32
"16021",1,3,4,3
"16022",1,10,11,10
"16023",1,16,17,16
"16024",3,7,10,9
"16025",2,36,38,37
"16026",3,12,15,13
"16027",2,8,10,8
"16028",6,6,12,6
"16029",4,27,31,30
"16030",4,15,19,15
"16031",1,4,5,4
"16032",1,4,5,4
"16033",1,16,17,16
"16034",2,3,5,4
"16035",6,57,63,57
"16036",1,7,8,7
"16037",1,7,8,7
"16038",1,9,10,9
"16039",2,12,14,13
"16040",1,5,6,5
"16041",1,2,3,2
"16042",1,3,4,3
"16043",3,10,13,11
"16044",1,4,5,4
"16045",1,24,25,24
"16046",1,2,3,2
"16047",3,7,10,8
"16048",1,8,9,8
"16049",2,11,13,12
"16050",4,34,38,37
"16051",2,6,8,6
"16052",5,1,6,5
"16053",1,2,3,2
"16054",5,21,26,23
"16055",1,5,6,5
"16056",2,10,12,10
"16057",2,5,7,6
"16058",3,11,14,13
"16059",1,2,3,2
"16060",4,5,9,7
"16061",2,10,12,10
"16062",1,4,5,4
"16063",4,3,7,5
"16064",1,13,14,13
"16065",1,6,7,6
"16066",1,29,30,29
"16067",15,1,16,15
"16068",2,9,11,9
"16069",1,3,4,3
"16070",1,13,14,13
"16071",1,5,6,5
"16072",1,2,3,2
"16073",1,7,8,7
"16074",2,41,43,42
"16075",2,2,4,3
"16076",20,35,55,54
"16077",1,2,3,2
"16078",1,5,6,5
"16079",1,2,3,2
"16080",2,3,5,3
"16081",3,17,20,19
"16082",2,7,9,7
"16083",5,25,30,27
"16084",4,11,15,12
"16085",2,9,11,10
"16086",2,9,11,10
"16087",2,11,13,12
"16088",1,9,10,9
"16089",1,3,4,3
"16090",1,2,3,2
"16091",1,1,2,1
"16092",4,4,8,4
"16093",1,16,17,16
"16094",2,4,6,5
"16095",3,13,16,13
"16096",1,18,19,18
"16097",1,2,3,2
"16098",7,9,16,11
"16099",1,3,4,3
"16100",1,8,9,8
"16101",1,4,5,4
"16102",1,8,9,8
"16103",3,8,11,8
"16104",1,18,19,18
"16105",2,42,44,43
"16106",2,9,11,9
"16107",2,1,3,2
"16108",1,2,3,2
"16109",2,6,8,7
"16110",2,4,6,4
"16111",2,6,8,6
"16112",1,4,5,4
"16113",5,11,16,13
"16114",6,2,8,7
"16115",16,1,17,16
"16116",2,21,23,21
"16117",1,10,11,10
"16118",1,9,10,9
"16119",1,16,17,16
"16120",4,11,15,12
"16121",1,29,30,29
"16122",3,7,10,8
"16123",1,22,23,22
"16124",2,6,8,6
"16125",1,6,7,6
"16126",4,16,20,18
"16127",1,1,2,1
"16128",4,5,9,7
"16129",29,6,35,31
"16130",7,20,27,23
"16131",1,15,16,15
"16132",5,16,21,17
"16133",2,9,11,9
"16134",1,9,10,9
"16135",2,14,16,15
"16136",1,2,3,2
"16137",3,15,18,15
"16138",2,6,8,6
"16139",3,13,16,13
"16140",2,4,6,4
"16141",2,4,6,5
"16142",4,11,15,11
